NP1,NP2,SE,Time
0.060311902921566435,0.17803295231325283,0.10216890004338175,0.0
0.0952160751561827,0.1712886551676273,0.1038313831608036,0.009538192750602116
0.0521363274294826,0.1469756938507755,0.1039358438888743,0.01896855510266674
0.0786074247615818,0.1625881156767162,0.1038869057632543,0.028518724057370673
0.0531637292430026,0.1465769081923201,0.1039694114083935,0.037860202753651304
0.0753169534287558,0.1647326998038596,0.1037271989193184,0.04729489574505361
0.0579513320566423,0.1487983151568679,0.103867510741299,0.056569120381712405
0.0724514561399598,0.1651460983500942,0.1035909422339239,0.06620137476566301
0.059787621911226,0.1492710897763389,0.1037155557619988,0.07557514456250428
0.0718231668217058,0.1649758953442163,0.1034605634485307,0.08516447410630525
0.0593665202448044,0.1509140510136616,0.1036063025997808,0.09461687733436958
0.071187573844145,0.164759741398141,0.1033382334948465,0.1041050292989983
0.0608679984885565,0.1519007851270579,0.1034785043558515,0.1135807790189914
0.072230056192365,0.1652430397749649,0.1032565163484879,0.12314389555130466
0.0592949475472351,0.1530970749625272,0.1034034433680309,0.13240305444752
0.0726514460969601,0.1655908115748763,0.1031783935277398,0.1418063731138848
0.0607876996546197,0.1539553375602957,0.1033646738046082,0.1513103716762372
0.0732676938326583,0.1662337471932816,0.1031432592509032,0.16082266567538817
0.0607510739367401,0.1543033179884358,0.1033054032728884,0.17052048181836105
0.0726179339614977,0.166126367020558,0.1030768000679624,0.1796943218836749
0.0583638672690234,0.1542643476696115,0.1032343769411662,0.18926809174459222
0.071682750912486,0.1655705870070154,0.1030004078484342,0.198813277035103
0.0585839120819468,0.1551533966123381,0.1031580666435892,0.20841127528891576
0.0709763964883329,0.1664727955241006,0.1029202472191491,0.2182143263192279
0.0591597583972557,0.1563171578644167,0.1030831899801589,0.2277044455959462
0.0694673505068339,0.1658980468575377,0.1028472342801094,0.23761553592108967
0.060129008418895,0.1574858779105957,0.1030078217850211,0.2470354351789526
0.0684744980543098,0.1659136197050454,0.1027606222971644,0.256613249413658
0.0619514895463579,0.1587517255613027,0.1029068222593902,0.26561831507463657
