,FR,FR-RVS,Linlog,FA2,Maxent,SM,tsNET,t-FDP
dwt_72,0.511,0.724,0.652,0.820,0.644,0.980,0.981,0.806
lesmis,0.391,0.374,0.537,0.489,0.130,0.293,0.569,0.544
can_96,0.440,0.608,0.300,0.485,0.257,0.377,0.701,0.674
rajat11,0.441,0.467,0.690,0.662,0.099,0.419,0.655,0.741
jazz,0.405,0.330,0.465,0.410,0.218,0.361,0.535,0.495
visbrazil,0.084,0.112,0.466,0.384,0.021,0.069,0.299,0.530
grid17,0.257,0.350,0.365,0.625,0.743,1.000,0.961,0.713
mesh3e1,0.318,0.478,0.459,0.820,0.755,0.997,0.927,0.888
netscience,0.362,0.361,0.639,0.578,0.075,0.264,0.634,0.732
dwt_419,0.283,0.372,0.385,0.499,0.373,0.562,0.522,0.526
cluster,0.064,0.044,0.171,0.107,0.001,0.042,0.198,0.174
qh882,0.239,0.224,0.480,0.469,0.046,0.250,0.442,0.562
price_1000,0.029,0.086,0.558,0.440,0.004,0.014,0.312,0.655
dwt_1005,0.179,0.198,0.272,0.314,0.242,0.416,0.524,0.473
cage8,0.119,0.097,0.301,0.186,0.004,0.091,0.325,0.302
btree9,0.016,0.098,0.664,0.286,0.000,0.023,0.207,0.834
bcsstk09,0.262,0.201,0.286,0.384,0.465,0.450,0.436,0.430
1138_bus,0.052,0.094,0.573,0.533,0.020,0.085,0.448,0.672
qh1484,0.203,0.158,0.432,0.419,0.039,0.250,0.366,0.512
clusterHiera,0.091,0.087,0.212,0.136,0.002,0.044,0.214,0.215
bcspwr07,0.036,0.069,0.508,0.443,0.022,0.106,0.387,0.607
fidapex6,0.442,0.280,0.415,0.487,0.415,0.664,0.689,0.740
block_2000,0.029,0.032,0.166,0.054,0.000,0.017,0.111,0.155
sierpinski3d,0.187,0.186,0.501,0.498,0.223,0.505,0.550,0.573
lp_ship04l,0.009,0.005,0.044,0.049,0.000,0.002,0.045,0.043
data,0.174,0.190,0.272,0.385,0.517,0.615,0.546,0.501
3elt,0.048,0.066,0.210,0.376,0.264,0.493,0.435,0.342
USPowerGrid,0.019,0.024,0.501,0.425,0.008,0.041,0.327,0.525
add32,0.056,0.052,0.510,0.431,0.002,0.024,0.297,0.537
ca-GrQc,0.303,0.201,0.621,0.439,0.012,0.068,0.008,0.475
commanche,0.014,0.015,0.278,0.168,0.020,0.174,0.206,0.247
EVA,0.255,0.089,0.349,0.308,0.001,0.005,0.001,0.399
bcsstk33,0.182,0.140,0.222,0.183,0.133,0.153,0.289,0.300
whitaker3,0.024,0.035,0.149,0.312,0.257,0.933,0.176,0.177
crack,0.027,0.036,0.171,0.306,0.254,0.688,0.159,0.176
fe_4elt2,0.026,0.033,0.172,0.250,0.145,0.442,0.164,0.179
fidapex11,0.156,0.091,0.191,0.194,0.174,0.201,0.156,0.255
bcsstk31,0.090,0.038,0.240,0.223,0.141,0.204,NaN,0.302
bcsstk32,NaN,0.040,0.255,0.273,0.206,NaN,NaN,0.375
finan512,NaN,0.006,0.150,0.078,0.003,NaN,NaN,0.102
luxembourg,NaN,0.002,0.217,0.119,0.010,NaN,NaN,0.049
fe_ocean,NaN,0.003,0.108,0.104,0.001,NaN,NaN,0.017
