,Exact,BH,RVS,ibFFT-CPU,ibFFT-GPU
dwt_72,0.9103725749559086,0.9133708112874782,0.890368566618567,0.908079805996473,0.9050771604938275
lesmis,0.6811107426575833,0.6842780176180893,0.6420414511691866,0.6769302018867689,0.6795104809358256
can_96,0.6344127277205167,0.6326196301374546,0.6495969901528896,0.6311450765924045,0.6406636128980449
rajat11,0.674415048657443,0.6760179358292977,0.6414812718237972,0.6746731705936067,0.6775971988869235
jazz,0.8144677418088595,0.8145925561791726,0.7652271283024304,0.8175150895474708,0.8141714210067708
visbrazil,0.5155032413044728,0.5116852559572672,0.44151571903703424,0.5197059668373875,0.5181295116351159
grid17,0.8170344457541686,0.8210209091177948,0.7118222908330768,0.8089352784854512,0.8094794094794091
mesh3e1,0.9367467553389979,0.9418291979373755,0.8776224518455056,0.9235978815090096,0.9274882993531698
netscience,0.6871200046161247,0.6848260319787217,0.6205320296474591,0.6857810859769845,0.6886831149209653
dwt_419,0.7290383405766234,0.7310784187487941,0.6875029142558023,0.7287991238470616,0.7270437597752473
cluster,0.37964197016639517,0.38053063154285194,0.3498063768489707,0.3797461989617047,0.3790550668435837
qh882,0.6213273579128,0.6206754021624283,0.5635665027983886,0.6227826866023826,0.6218801458512443
price_1000,0.5572836639335058,0.5557220341440727,0.5018911882923535,0.5615615452846043,0.562782389624213
dwt_1005,0.6215326008643526,0.6227097045745374,0.6071305796236915,0.6188462891616947,0.6160643615641217
cage8,0.3256400141091088,0.3256219025949668,0.27905681425019213,0.3262929681518857,0.3274108083996552
btree9,0.8061165653773902,0.8053765946356943,0.6437275967791739,0.7951413533852727,0.8022593254023306
bcsstk09,0.8599607718939009,0.8612451600438069,0.8496761150795169,0.8601524345443062,0.855758977199075
1138_bus,0.5857155925374651,0.5829167093074384,0.4970668612028545,0.590936755985543,0.5895538297535449
qh1484,0.6121679402525213,0.6119670200600527,0.5505067397528877,0.6083394052577147,0.6080168410604762
clusterHiera,0.48755725705201913,0.48789081041389276,0.4649555647303745,0.48833030950757383,0.48883187567324715
bcspwr07,0.5715977199289108,0.5684857007403983,0.4993401352660456,0.5737085816106186,0.5775740292910869
fidapex6,0.8564416698453133,0.8592827216002782,0.7967457336359323,0.8550073404864241,0.8495197818745744
block_2000,0.32964089695086385,0.3298495212962334,0.3005985162882867,0.3322291654328924,0.32986415092279364
sierpinski3d,0.6036559512724073,0.6040213803333137,0.5364832482473565,0.6003611979191887,0.5986178998125191
lp_ship04l,0.37576316135065524,0.37506294403567103,0.11098328916545956,0.3790960719502057,0.38182559192718263
data,0.7939599770082455,0.790238302553034,0.6227481344114842,0.7913960863801239,0.7942746207794064
3elt,0.7144216343622066,0.7143728359937436,0.5904151269943648,0.7225523012543771,0.7227084247087159
USPowerGrid,0.5146376896544868,0.5152174104784691,0.4645263685588931,0.5206992135898464,0.5215959017399816
add32,0.4913785197402693,0.488978772949899,0.4670203398596935,0.49856414452651754,0.4933339448299128
ca-GrQc,0.3833943824122141,0.3849768679096782,0.3711788607004028,0.38636758378598113,0.3846167885252868
commanche,0.43918319537379674,0.4410869302678401,0.4307763933061228,0.45639363417659506,0.4547289211539268
EVA,0.7422892064181471,0.7409596945858022,0.656999120620036,0.7455111378910992,0.7479377843750141
bcsstk33,0.3992894507477444,0.4004063120286692,0.3558452882552047,0.3996844873949879,0.4203141268152241
whitaker3,0.8357366946561212,0.8347831439469184,0.5146224706507533,0.8907561173042238,0.8810530037702231
crack,0.8788793294333054,0.8800484778180395,0.6406086133193548,0.8797841494477892,0.8797499393134564
fe_4elt2,0.5264298733604461,0.5225610814409044,0.3936045921536232,0.5654604649736179,0.5680913780498857
fidapex11,0.4224779986339904,0.4231487705999436,0.324360429556811,0.4261037234932742,0.438753053801151
bcsstk31,0.43605461038397386,0.436198205213843,0.3843807912453132,0.44139110969540785,0.44141660729254584
bcsstk32,0.44498061933155364,0.4457442382718774,0.39316155866684616,0.44887227214096487,0.44841834026482597
finan512,0.2882312413239487,0.28910419317045466,0.3013051934948409,0.2850975062846822,0.2851954829112977
luxembourg,0.7854580680870047,0.7861503058473491,0.6116644238011252,0.7503709223499879,0.7601396999215533
fe_ocean,0.14477853544097713,0.1454405552305528,0.155591695219052,0.14012523440937746,0.13991112146383816
